trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,image_emotion,image_emotion_ref,image_id,image_fullid,image_imagename,image_pos_ref,location_name,location,location_x,location_y,soa_ref,soa_secs,soa_frames,mask_secs,mask_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,2.20459044399999,133,2.38692499199999,144,1,1,038,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,right,2,1160,540,10,0.248638019999998,15,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
2,1.98910415999999,120,4.79042585199997,289,1,1,020,4,4,2,young,2,female,2,neutral,3,y_f_n,young_female_neutral,020_y_f_n_a.jpg,12,left,1,760,540,2,0.0331517359999998,2,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
3,2.38692499199999,144,7.19392671199996,434,1,1,010,4,4,1,young,2,female,2,neutral,3,y_f_n,young_female_neutral,010_y_f_n_a.jpg,12,left,1,760,540,1,0.0165758679999999,1,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
4,2.51953193599998,152,8.90124111599995,537,1,1,031,3,3,5,young,2,male,1,neutral,3,y_m_n,young_male_neutral,031_y_m_n_a.jpg,9,left,1,760,540,10,0.248638019999998,15,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
5,2.45322846399999,148,10.8074659359999,652,1,1,006,2,2,1,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,left,1,760,540,6,0.0828793399999995,5,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
6,2.46980433199999,149,13.1612391919999,794,1,1,020,4,4,2,young,2,female,2,neutral,3,y_f_n,young_female_neutral,020_y_f_n_a.jpg,12,right,2,1160,540,7,0.0994552079999994,6,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
7,2.27089391599999,137,15.2166468239999,918,1,1,032,1,1,4,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,left,1,760,540,9,0.198910415999999,12,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
8,2.32062151999999,140,17.2223268519999,1039,1,1,016,3,3,3,young,2,male,1,neutral,3,y_m_n,young_male_neutral,016_y_m_n_a.jpg,9,right,2,1160,540,8,0.149182811999999,9,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
9,1.90622481999999,115,19.1782792759999,1157,1,1,022,4,4,3,young,2,female,2,neutral,3,y_f_n,young_female_neutral,022_y_f_n_a.jpg,12,right,2,1160,540,8,0.149182811999999,9,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
10,1.87307308399999,113,21.5983560039999,1303,1,1,006,2,2,1,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,left,1,760,540,1,0.0165758679999999,1,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
11,1.80676961199999,109,23.2725186719999,1404,2,1,026,1,1,3,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,3,left,1,760,540,8,0.149182811999999,9,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
12,2.35377325599999,142,24.9632572079998,1506,2,1,010,4,4,1,young,2,female,2,neutral,3,y_f_n,young_female_neutral,010_y_f_n_a.jpg,12,right,2,1160,540,6,0.0828793399999995,5,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
13,1.70731440399999,103,26.9523613679998,1626,2,1,032,1,1,4,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,left,1,760,540,4,0.0497276039999997,3,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
14,2.00568002799999,121,28.7591309799998,1735,2,1,019,2,2,3,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,6,left,1,760,540,8,0.149182811999999,9,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
15,2.18801457599999,132,30.5659005919998,1844,2,1,008,3,3,1,young,2,male,1,neutral,3,y_m_n,young_male_neutral,008_y_m_n_a.jpg,9,right,2,1160,540,1,0.0165758679999999,1,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
16,1.80676961199999,109,32.6047323559998,1967,2,1,038,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,left,1,760,540,5,0.0497276039999997,3,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
17,2.32062151999999,140,34.7761710639998,2098,2,1,031,3,3,5,young,2,male,1,neutral,3,y_m_n,young_male_neutral,031_y_m_n_a.jpg,9,left,1,760,540,5,0.0497276039999997,3,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
18,2.12171110399999,128,36.5829406759998,2207,2,1,028,4,4,4,young,2,female,2,neutral,3,y_f_n,young_female_neutral,028_y_f_n_a.jpg,12,right,2,1160,540,4,0.0497276039999997,3,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
19,2.18801457599999,132,38.8538345919998,2344,2,1,008,3,3,1,young,2,male,1,neutral,3,y_m_n,young_male_neutral,008_y_m_n_a.jpg,9,right,2,1160,540,1,0.0165758679999999,1,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
20,2.15486283999999,130,41.0584250359998,2477,2,1,008,3,3,1,young,2,male,1,neutral,3,y_m_n,young_male_neutral,008_y_m_n_a.jpg,9,right,2,1160,540,6,0.0828793399999995,5,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
21,2.10513523599999,127,42.9314981199998,2590,3,2,022,4,4,3,young,2,female,2,neutral,3,y_f_n,young_female_neutral,022_y_f_n_a.jpg,12,right,2,1160,540,3,0.0331517359999998,2,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
22,2.17143870799999,131,44.6222366559997,2692,3,2,014,1,1,2,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,014_m_m_n_a.jpg,3,right,2,1160,540,7,0.0994552079999994,6,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
23,1.98910415999999,120,47.0257375159997,2837,3,2,016,3,3,3,young,2,male,1,neutral,3,y_m_n,young_male_neutral,016_y_m_n_a.jpg,9,right,2,1160,540,3,0.0331517359999998,2,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
24,1.95595242399999,118,49.2469038279997,2971,3,2,032,1,1,4,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,right,2,1160,540,9,0.198910415999999,12,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
25,2.12171110399999,128,51.4680701399997,3105,3,2,031,3,3,5,young,2,male,1,neutral,3,y_m_n,young_male_neutral,031_y_m_n_a.jpg,9,right,2,1160,540,5,0.0497276039999997,3,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
26,2.46980433199999,149,53.8218433959997,3247,3,2,028,4,4,4,young,2,female,2,neutral,3,y_f_n,young_female_neutral,028_y_f_n_a.jpg,12,right,2,1160,540,9,0.198910415999999,12,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
27,1.90622481999999,115,56.0927373119997,3384,3,2,034,4,4,5,young,2,female,2,neutral,3,y_f_n,young_female_neutral,034_y_f_n_a.jpg,12,left,1,760,540,5,0.0497276039999997,3,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
28,2.10513523599999,127,58.0984173399997,3505,3,2,035,2,2,5,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,035_m_f_n_a.jpg,6,left,1,760,540,10,0.248638019999998,15,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
29,1.69073853599999,102,60.4687664639996,3648,3,2,011,2,2,2,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,011_m_f_n_a.jpg,6,right,2,1160,540,2,0.0331517359999998,2,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
30,2.46980433199999,149,62.3749912839996,3763,3,2,013,3,3,2,young,2,male,1,neutral,3,y_m_n,young_male_neutral,013_y_m_n_a.jpg,9,left,1,760,540,7,0.0994552079999994,6,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
31,2.30404565199999,139,64.6624610679996,3901,4,2,022,4,4,3,young,2,female,2,neutral,3,y_f_n,young_female_neutral,022_y_f_n_a.jpg,12,left,1,760,540,3,0.0331517359999998,2,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
32,1.69073853599999,102,66.5521100199996,4015,4,2,016,3,3,3,young,2,male,1,neutral,3,y_m_n,young_male_neutral,016_y_m_n_a.jpg,9,left,1,760,540,3,0.0331517359999998,2,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
33,2.56925953999998,155,68.6572452559996,4142,4,2,028,4,4,4,young,2,female,2,neutral,3,y_f_n,young_female_neutral,028_y_f_n_a.jpg,12,left,1,760,540,9,0.198910415999999,12,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
34,1.80676961199999,109,70.4640148679996,4251,4,2,032,1,1,4,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,right,2,1160,540,4,0.0497276039999997,3,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
35,2.00568002799999,121,72.2707844799996,4360,4,2,026,1,1,3,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,3,right,2,1160,540,8,0.149182811999999,9,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
36,2.27089391599999,137,74.7240129439996,4508,4,2,011,2,2,2,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,011_m_f_n_a.jpg,6,left,1,760,540,7,0.0994552079999994,6,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
37,2.10513523599999,127,76.4810549519995,4614,4,2,019,2,2,3,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,6,right,2,1160,540,3,0.0331517359999998,2,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
38,1.80676961199999,109,78.2878245639995,4723,4,2,019,2,2,3,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,6,right,2,1160,540,8,0.149182811999999,9,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
39,1.90622481999999,115,80.3432321959995,4847,4,2,035,2,2,5,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,035_m_f_n_a.jpg,6,right,2,1160,540,10,0.248638019999998,15,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
40,2.22116631199999,134,82.4483674319995,4974,4,2,016,3,3,3,young,2,male,1,neutral,3,y_m_n,young_male_neutral,016_y_m_n_a.jpg,9,right,2,1160,540,8,0.149182811999999,9,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
41,2.35377325599999,142,84.6363820079995,5106,5,3,007,1,1,1,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,3,right,2,1160,540,6,0.0828793399999995,5,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
42,1.80676961199999,109,86.6254861679995,5226,5,3,029,2,2,4,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,029_m_f_n_a.jpg,6,left,1,760,540,4,0.0497276039999997,3,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
43,2.35377325599999,142,88.3162247039994,5328,5,3,006,2,2,1,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,right,2,1160,540,6,0.0828793399999995,5,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
44,2.37034912399999,143,90.1229943159994,5437,5,3,029,2,2,4,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,029_m_f_n_a.jpg,6,left,1,760,540,9,0.198910415999999,12,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
45,2.05540763199999,124,92.2447054199994,5565,5,3,014,1,1,2,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,014_m_m_n_a.jpg,3,right,2,1160,540,7,0.0994552079999994,6,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
46,1.98910415999999,120,94.0846267679994,5676,5,3,013,3,3,2,young,2,male,1,neutral,3,y_m_n,young_male_neutral,013_y_m_n_a.jpg,9,left,1,760,540,2,0.0331517359999998,2,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
47,2.40350085999999,145,96.1400343999994,5800,5,3,019,2,2,3,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,6,left,1,760,540,3,0.0331517359999998,2,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
48,1.69073853599999,102,98.4606559199994,5940,5,3,014,1,1,2,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,014_m_m_n_a.jpg,3,right,2,1160,540,2,0.0331517359999998,2,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
49,2.38692499199999,144,100.615518759999,6070,5,3,007,1,1,1,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,3,right,2,1160,540,1,0.0165758679999999,1,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
50,2.22116631199999,134,103.135050695999,6222,5,3,029,2,2,4,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,029_m_f_n_a.jpg,6,right,2,1160,540,4,0.0497276039999997,3,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
51,2.15486283999999,130,105.323065271999,6354,6,3,025,3,3,4,young,2,male,1,neutral,3,y_m_n,young_male_neutral,025_y_m_n_a.jpg,9,left,1,760,540,9,0.198910415999999,12,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
52,2.00568002799999,121,107.312169431999,6474,6,3,034,4,4,5,young,2,female,2,neutral,3,y_f_n,young_female_neutral,034_y_f_n_a.jpg,12,left,1,760,540,10,0.248638019999998,15,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
53,2.40350085999999,145,109.301273591999,6594,6,3,026,1,1,3,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,3,left,1,760,540,3,0.0331517359999998,2,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
54,2.30404565199999,139,111.522439903999,6728,6,3,020,4,4,2,young,2,female,2,neutral,3,y_f_n,young_female_neutral,020_y_f_n_a.jpg,12,left,1,760,540,2,0.0331517359999998,2,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
55,2.42007672799999,146,113.843061423999,6868,6,3,038,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,left,1,760,540,10,0.248638019999998,15,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
56,1.80676961199999,109,115.997924263999,6998,6,3,022,4,4,3,young,2,female,2,neutral,3,y_f_n,young_female_neutral,022_y_f_n_a.jpg,12,right,2,1160,540,8,0.149182811999999,9,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
57,2.12171110399999,128,118.467728595999,7147,6,3,034,4,4,5,young,2,female,2,neutral,3,y_f_n,young_female_neutral,034_y_f_n_a.jpg,12,right,2,1160,540,5,0.0497276039999997,3,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
58,2.22116631199999,134,120.688894907999,7281,6,3,028,4,4,4,young,2,female,2,neutral,3,y_f_n,young_female_neutral,028_y_f_n_a.jpg,12,left,1,760,540,4,0.0497276039999997,3,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
59,1.67416266799999,101,122.959788823999,7418,6,3,007,1,1,1,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,3,right,2,1160,540,1,0.0165758679999999,1,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
60,1.98910415999999,120,125.479320759999,7570,6,3,013,3,3,2,young,2,male,1,neutral,3,y_m_n,young_male_neutral,013_y_m_n_a.jpg,9,left,1,760,540,2,0.0331517359999998,2,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
61,1.80676961199999,109,127.352393843999,7683,7,4,035,2,2,5,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,035_m_f_n_a.jpg,6,right,2,1160,540,5,0.0497276039999997,3,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
62,1.98910415999999,120,129.341498003999,7803,7,4,026,1,1,3,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,3,right,2,1160,540,3,0.0331517359999998,2,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
63,2.51953193599998,152,131.446633239999,7930,7,4,031,3,3,5,young,2,male,1,neutral,3,y_m_n,young_male_neutral,031_y_m_n_a.jpg,9,right,2,1160,540,10,0.248638019999998,15,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
64,2.22116631199999,134,133.568344343999,8058,7,4,025,3,3,4,young,2,male,1,neutral,3,y_m_n,young_male_neutral,025_y_m_n_a.jpg,9,right,2,1160,540,4,0.0497276039999997,3,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
65,2.03883176399999,123,135.690055447999,8186,7,4,007,1,1,1,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,3,left,1,760,540,6,0.0828793399999995,5,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
66,1.83992134799999,111,137.529976795999,8297,7,4,008,3,3,1,young,2,male,1,neutral,3,y_m_n,young_male_neutral,008_y_m_n_a.jpg,9,left,1,760,540,6,0.0828793399999995,5,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
67,2.10513523599999,127,139.999781127999,8446,7,4,034,4,4,5,young,2,female,2,neutral,3,y_f_n,young_female_neutral,034_y_f_n_a.jpg,12,left,1,760,540,10,0.248638019999998,15,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
68,2.05540763199999,124,141.806550739999,8555,7,4,029,2,2,4,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,029_m_f_n_a.jpg,6,left,1,760,540,9,0.198910415999999,12,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
69,2.27089391599999,137,144.276355071999,8704,7,4,025,3,3,4,young,2,male,1,neutral,3,y_m_n,young_male_neutral,025_y_m_n_a.jpg,9,left,1,760,540,9,0.198910415999999,12,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
70,1.75704200799999,106,146.282035099999,8825,7,4,011,2,2,2,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,011_m_f_n_a.jpg,6,right,2,1160,540,7,0.0994552079999994,6,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
71,2.40350085999999,145,148.668960091999,8969,8,4,014,1,1,2,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,014_m_m_n_a.jpg,3,right,2,1160,540,2,0.0331517359999998,2,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
72,2.22116631199999,134,150.973005743999,9108,8,4,035,2,2,5,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,035_m_f_n_a.jpg,6,right,2,1160,540,5,0.0497276039999997,3,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
73,1.83992134799999,111,153.277051395999,9247,8,4,010,4,4,1,young,2,female,2,neutral,3,y_f_n,young_female_neutral,010_y_f_n_a.jpg,12,left,1,760,540,6,0.0828793399999995,5,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
74,2.28746978399999,138,155.498217707999,9381,8,4,006,2,2,1,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,left,1,760,540,1,0.0165758679999999,1,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
75,1.90622481999999,115,157.404442527999,9496,8,4,038,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,left,1,760,540,5,0.0497276039999997,3,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
76,1.80676961199999,109,159.758215783999,9638,8,4,025,3,3,4,young,2,male,1,neutral,3,y_m_n,young_male_neutral,025_y_m_n_a.jpg,9,right,2,1160,540,4,0.0497276039999997,3,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
77,1.88964895199999,114,162.228020115999,9787,8,4,011,2,2,2,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,011_m_f_n_a.jpg,6,left,1,760,540,2,0.0331517359999998,2,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
78,1.87307308399999,113,164.134244935999,9902,8,4,010,4,4,1,young,2,female,2,neutral,3,y_f_n,young_female_neutral,010_y_f_n_a.jpg,12,right,2,1160,540,1,0.0165758679999999,1,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
79,2.05540763199999,124,166.703504475999,10057,8,4,013,3,3,2,young,2,male,1,neutral,3,y_m_n,young_male_neutral,013_y_m_n_a.jpg,9,left,1,760,540,7,0.0994552079999994,6,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
80,2.46980433199999,149,168.808639711999,10184,8,4,020,4,4,2,young,2,female,2,neutral,3,y_f_n,young_female_neutral,020_y_f_n_a.jpg,12,left,1,760,540,7,0.0994552079999994,6,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
