trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,location_name,location,location_x,location_y,target_emotion,target_emotion_ref,target_id,target_fullid,target_imagename,target_pos_ref,mask_secs,mask_frames,mask_id,mask_fullid,mask_imagename,mask_pos_ref,soa_ref,soa_secs,soa_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,2.18391514800006,262,2.36729733600006,284,1,1,87,1,2,14,middle,1,male,1,left,1,616.443307866211,540,happy,2,m_m_h,middle_male_happy,087_m_m_h_a.jpg,2,0.100026648000003,12,m_m_n,middle_male_neutral,087_m_m_n_a.jpg,3,4,0.0416777700000011,5,6,0.541811010000015,65,1.50039972000004,180
2,2.08388850000006,250,4.22612587800012,507,1,1,62,3,5,10,young,2,male,1,left,1,616.443307866211,540,fear,1,y_m_f,young_male_fear,062_y_m_f_a.jpg,7,0.100026648000003,12,y_m_n,young_male_neutral,062_y_m_n_a.jpg,9,10,0.250066620000007,30,3,0.233395512000006,28,1.50039972000004,180
3,2.28394179600006,274,6.09328997400017,731,1,1,81,3,5,13,young,2,male,1,right,2,1303.55669213379,540,fear,1,y_m_f,young_male_fear,081_y_m_f_a.jpg,7,0.100026648000003,12,y_m_n,young_male_neutral,081_y_m_n_a.jpg,9,3,0.0333422160000009,4,7,0.650173212000018,78,1.50039972000004,180
4,1.92551297400005,231,7.86042742200022,943,1,1,58,1,2,9,middle,1,male,1,right,2,1303.55669213379,540,happy,2,m_m_h,middle_male_happy,058_m_m_h_a.jpg,2,0.100026648000003,12,m_m_n,middle_male_neutral,058_m_m_n_a.jpg,3,9,0.200053296000005,24,2,0.125033310000003,15,1.50039972000004,180
5,1.75880189400005,211,9.95265147600027,1194,1,1,84,2,3,13,middle,1,female,2,right,2,1303.55669213379,540,fear,1,m_f_f,middle_female_fear,084_m_f_f_a.jpg,4,0.100026648000003,12,m_f_n,middle_female_neutral,084_m_f_n_a.jpg,6,3,0.0333422160000009,4,2,0.125033310000003,15,1.50039972000004,180
6,2.05888183800006,247,11.7531311400003,1410,1,1,10,4,7,1,young,2,female,2,right,2,1303.55669213379,540,fear,1,y_f_f,young_female_fear,010_y_f_f_a.jpg,10,0.100026648000003,12,y_f_n,young_female_neutral,010_y_f_n_a.jpg,12,1,0.0166711080000005,2,5,0.441784362000012,53,1.50039972000004,180
7,2.03387517600006,244,14.2037840160004,1704,1,1,57,3,5,9,young,2,male,1,left,1,616.443307866211,540,fear,1,y_m_f,young_male_fear,057_y_m_f_a.jpg,7,0.100026648000003,12,y_m_n,young_male_neutral,057_y_m_n_a.jpg,9,9,0.200053296000005,24,3,0.233395512000006,28,1.50039972000004,180
8,1.72545967800005,207,16.4960613660005,1979,1,1,51,1,2,7,middle,1,male,1,right,2,1303.55669213379,540,happy,2,m_m_h,middle_male_happy,051_m_m_h_a.jpg,2,0.100026648000003,12,m_m_n,middle_male_neutral,051_m_m_n_a.jpg,3,7,0.100026648000003,12,1,0.0250066620000007,3,1.50039972000004,180
9,2.24226402600006,269,18.9467142420005,2273,1,1,61,2,4,9,middle,1,female,2,right,2,1303.55669213379,540,happy,2,m_f_h,middle_female_happy,061_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,061_m_f_n_a.jpg,6,9,0.200053296000005,24,5,0.441784362000012,53,1.50039972000004,180
10,1.80047966400005,216,20.9222405400006,2510,1,1,103,2,4,16,middle,1,female,2,right,2,1303.55669213379,540,happy,2,m_f_h,middle_female_happy,103_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,103_m_f_n_a.jpg,6,6,0.0750199860000021,9,2,0.125033310000003,15,1.50039972000004,180
11,2.32561956600006,279,22.5643446780006,2707,1,1,105,3,5,16,young,2,male,1,right,2,1303.55669213379,540,fear,1,y_m_f,young_male_fear,105_y_m_f_a.jpg,7,0.100026648000003,12,y_m_n,young_male_neutral,105_y_m_n_a.jpg,9,6,0.0750199860000021,9,7,0.650173212000018,78,1.50039972000004,180
12,1.80047966400005,216,24.4231732200007,2930,1,1,45,1,1,6,middle,1,male,1,right,2,1303.55669213379,540,fear,1,m_m_f,middle_male_fear,045_m_m_f_a.jpg,1,0.100026648000003,12,m_m_n,middle_male_neutral,045_m_m_n_a.jpg,3,6,0.0750199860000021,9,2,0.125033310000003,15,1.50039972000004,180
13,2.14223737800006,257,26.0819484660007,3129,1,1,109,3,5,17,young,2,male,1,right,2,1303.55669213379,540,fear,1,y_m_f,young_male_fear,109_y_m_f_a.jpg,7,0.100026648000003,12,y_m_n,young_male_neutral,109_y_m_n_a.jpg,9,7,0.100026648000003,12,5,0.441784362000012,53,1.50039972000004,180
14,2.03387517600006,244,28.1658369660008,3379,1,1,48,4,8,7,young,2,female,2,right,2,1303.55669213379,540,happy,2,y_f_h,young_female_happy,048_y_f_h_a.jpg,11,0.100026648000003,12,y_f_n,young_female_neutral,048_y_f_n_a.jpg,12,7,0.100026648000003,12,4,0.333422160000009,40,1.50039972000004,180
15,2.36729733600006,284,29.8412833200008,3580,1,1,70,1,1,11,middle,1,male,1,left,1,616.443307866211,540,fear,1,m_m_f,middle_male_fear,070_m_m_f_a.jpg,1,0.100026648000003,12,m_m_n,middle_male_neutral,070_m_m_n_a.jpg,3,1,0.0166711080000005,2,8,0.750199860000021,90,1.50039972000004,180
16,2.14223737800006,257,31.7501251860009,3809,1,1,48,4,7,7,young,2,female,2,right,2,1303.55669213379,540,fear,1,y_f_f,young_female_fear,048_y_f_f_a.jpg,10,0.100026648000003,12,y_f_n,young_female_neutral,048_y_f_n_a.jpg,12,7,0.100026648000003,12,5,0.441784362000012,53,1.50039972000004,180
17,2.34229067400006,281,33.6839737140009,4041,1,1,132,4,8,19,young,2,female,2,left,1,616.443307866211,540,happy,2,y_f_h,young_female_happy,132_y_f_h_a.jpg,11,0.100026648000003,12,y_f_n,young_female_neutral,132_y_f_n_a.jpg,12,9,0.200053296000005,24,6,0.541811010000015,65,1.50039972000004,180
18,1.77547300200005,213,35.876224416001,4304,1,1,31,3,6,5,young,2,male,1,left,1,616.443307866211,540,happy,2,y_m_h,young_male_happy,031_y_m_h_a.jpg,8,0.100026648000003,12,y_m_n,young_male_neutral,031_y_m_n_a.jpg,9,5,0.0500133240000014,6,2,0.125033310000003,15,1.50039972000004,180
19,2.07555294600006,249,37.801737390001,4535,1,1,22,4,7,3,young,2,female,2,left,1,616.443307866211,540,fear,1,y_f_f,young_female_fear,022_y_f_f_a.jpg,10,0.100026648000003,12,y_f_n,young_female_neutral,022_y_f_n_a.jpg,12,3,0.0333422160000009,4,5,0.441784362000012,53,1.50039972000004,180
20,2.45065287600007,294,40.1940413880011,4822,1,1,117,2,3,19,middle,1,female,2,left,1,616.443307866211,540,fear,1,m_f_f,middle_female_fear,117_m_f_f_a.jpg,4,0.100026648000003,12,m_f_n,middle_female_neutral,117_m_f_n_a.jpg,6,9,0.200053296000005,24,7,0.650173212000018,78,1.50039972000004,180
21,2.40063955200007,288,42.3529498740012,5081,1,1,113,2,4,18,middle,1,female,2,right,2,1303.55669213379,540,happy,2,m_f_h,middle_female_happy,113_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,113_m_f_n_a.jpg,6,8,0.150039972000004,18,7,0.650173212000018,78,1.50039972000004,180
22,1.65877524600005,199,44.4201672660012,5329,1,1,82,1,1,13,middle,1,male,1,right,2,1303.55669213379,540,fear,1,m_m_f,middle_male_fear,082_m_m_f_a.jpg,1,0.100026648000003,12,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0333422160000009,4,1,0.0250066620000007,3,1.50039972000004,180
23,2.37563289000007,285,46.0789425120013,5528,1,1,80,2,4,12,middle,1,female,2,left,1,616.443307866211,540,happy,2,m_f_h,middle_female_happy,080_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,080_m_f_n_a.jpg,6,2,0.0250066620000007,3,8,0.750199860000021,90,1.50039972000004,180
24,2.17557959400006,261,48.3712198620013,5803,1,1,19,2,4,3,middle,1,female,2,left,1,616.443307866211,540,happy,2,m_f_h,middle_female_happy,019_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,6,3,0.0333422160000009,4,6,0.541811010000015,65,1.50039972000004,180
25,2.08388850000006,250,50.0466662160014,6004,1,1,93,2,3,14,middle,1,female,2,left,1,616.443307866211,540,fear,1,m_f_f,middle_female_fear,093_m_f_f_a.jpg,4,0.100026648000003,12,m_f_n,middle_female_neutral,093_m_f_n_a.jpg,6,4,0.0416777700000011,5,5,0.441784362000012,53,1.50039972000004,180
26,1.66711080000005,200,52.3722857820014,6283,1,1,98,4,7,14,young,2,female,2,left,1,616.443307866211,540,fear,1,y_f_f,young_female_fear,098_y_f_f_a.jpg,10,0.100026648000003,12,y_f_n,young_female_neutral,098_y_f_n_a.jpg,12,4,0.0416777700000011,5,1,0.0250066620000007,3,1.50039972000004,180
27,2.17557959400006,261,54.1977721080015,6502,1,1,84,2,4,13,middle,1,female,2,left,1,616.443307866211,540,happy,2,m_f_h,middle_female_happy,084_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,084_m_f_n_a.jpg,6,3,0.0333422160000009,4,6,0.541811010000015,65,1.50039972000004,180
28,2.15890848600006,259,55.9732451100015,6715,1,1,71,4,7,11,young,2,female,2,right,2,1303.55669213379,540,fear,1,y_f_f,young_female_fear,071_y_f_f_a.jpg,10,0.100026648000003,12,y_f_n,young_female_neutral,071_y_f_n_a.jpg,12,1,0.0166711080000005,2,6,0.541811010000015,65,1.50039972000004,180
29,1.86716409600005,224,57.8987580840016,6946,1,1,22,4,7,3,young,2,female,2,right,2,1303.55669213379,540,fear,1,y_f_f,young_female_fear,022_y_f_f_a.jpg,10,0.100026648000003,12,y_f_n,young_female_neutral,022_y_f_n_a.jpg,12,3,0.0333422160000009,4,3,0.233395512000006,28,1.50039972000004,180
30,1.96719074400005,236,59.7742577340016,7171,1,1,84,2,3,13,middle,1,female,2,right,2,1303.55669213379,540,fear,1,m_f_f,middle_female_fear,084_m_f_f_a.jpg,4,0.100026648000003,12,m_f_n,middle_female_neutral,084_m_f_n_a.jpg,6,3,0.0333422160000009,4,4,0.333422160000009,40,1.50039972000004,180
31,1.65877524600005,199,62.1415550700017,7455,1,1,26,1,1,3,middle,1,male,1,left,1,616.443307866211,540,fear,1,m_m_f,middle_male_fear,026_m_m_f_a.jpg,1,0.100026648000003,12,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,3,3,0.0333422160000009,4,1,0.0250066620000007,3,1.50039972000004,180
32,1.67544635400005,201,63.8920214100017,7665,1,1,92,1,1,15,middle,1,male,1,left,1,616.443307866211,540,fear,1,m_m_f,middle_male_fear,092_m_m_f_a.jpg,1,0.100026648000003,12,m_m_n,middle_male_neutral,092_m_m_n_a.jpg,3,5,0.0500133240000014,6,1,0.0250066620000007,3,1.50039972000004,180
33,2.08388850000006,250,66.0676010040018,7926,1,1,114,3,6,18,young,2,male,1,left,1,616.443307866211,540,happy,2,y_m_h,young_male_happy,114_y_m_h_a.jpg,8,0.100026648000003,12,y_m_n,young_male_neutral,114_y_m_n_a.jpg,9,8,0.150039972000004,18,4,0.333422160000009,40,1.50039972000004,180
34,1.70045301600005,204,68.1514895040019,8176,1,1,43,2,4,6,middle,1,female,2,left,1,616.443307866211,540,happy,2,m_f_h,middle_female_happy,043_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,043_m_f_n_a.jpg,6,6,0.0750199860000021,9,1,0.0250066620000007,3,1.50039972000004,180
35,1.74213078600005,209,70.5521290560019,8464,1,1,10,4,8,1,young,2,female,2,right,2,1303.55669213379,540,happy,2,y_f_h,young_female_happy,010_y_f_h_a.jpg,11,0.100026648000003,12,y_f_n,young_female_neutral,010_y_f_n_a.jpg,12,1,0.0166711080000005,2,2,0.125033310000003,15,1.50039972000004,180
36,2.08388850000006,250,72.460970922002,8693,1,1,29,2,4,4,middle,1,female,2,right,2,1303.55669213379,540,happy,2,m_f_h,middle_female_happy,029_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,029_m_f_n_a.jpg,6,4,0.0416777700000011,5,5,0.441784362000012,53,1.50039972000004,180
37,2.38396844400007,286,74.494846098002,8937,1,1,82,1,2,13,middle,1,male,1,right,2,1303.55669213379,540,happy,2,m_m_h,middle_male_happy,082_m_m_h_a.jpg,2,0.100026648000003,12,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0333422160000009,4,8,0.750199860000021,90,1.50039972000004,180
38,2.39230399800007,287,76.5787345980021,9187,1,1,123,3,5,20,young,2,male,1,right,2,1303.55669213379,540,fear,1,y_m_f,young_male_fear,123_y_m_f_a.jpg,7,0.100026648000003,12,y_m_n,young_male_neutral,123_y_m_n_a.jpg,9,10,0.250066620000007,30,6,0.541811010000015,65,1.50039972000004,180
39,2.03387517600006,244,78.8209986240021,9456,1,1,63,4,8,9,young,2,female,2,right,2,1303.55669213379,540,happy,2,y_f_h,young_female_happy,063_y_f_h_a.jpg,11,0.100026648000003,12,y_f_n,young_female_neutral,063_y_f_n_a.jpg,12,9,0.200053296000005,24,3,0.233395512000006,28,1.50039972000004,180
40,2.09222405400006,251,80.6964982740022,9681,1,1,31,3,6,5,young,2,male,1,right,2,1303.55669213379,540,happy,2,y_m_h,young_male_happy,031_y_m_h_a.jpg,8,0.100026648000003,12,y_m_n,young_male_neutral,031_y_m_n_a.jpg,9,5,0.0500133240000014,6,5,0.441784362000012,53,1.50039972000004,180
41,1.98386185200005,238,82.5469912620023,9903,2,1,97,2,4,15,middle,1,female,2,left,1,616.443307866211,540,happy,2,m_f_h,middle_female_happy,097_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,097_m_f_n_a.jpg,6,5,0.0500133240000014,6,4,0.333422160000009,40,1.50039972000004,180
42,2.03387517600006,244,84.1974309540023,10101,2,1,50,2,3,7,middle,1,female,2,left,1,616.443307866211,540,fear,1,m_f_f,middle_female_fear,050_m_f_f_a.jpg,4,0.100026648000003,12,m_f_n,middle_female_neutral,050_m_f_n_a.jpg,6,7,0.100026648000003,12,4,0.333422160000009,40,1.50039972000004,180
43,2.05888183800006,247,86.0645950500024,10325,2,1,10,4,8,1,young,2,female,2,right,2,1303.55669213379,540,happy,2,y_f_h,young_female_happy,010_y_f_h_a.jpg,11,0.100026648000003,12,y_f_n,young_female_neutral,010_y_f_n_a.jpg,12,1,0.0166711080000005,2,5,0.441784362000012,53,1.50039972000004,180
44,1.65043969200005,198,87.9400947000024,10550,2,1,85,4,8,12,young,2,female,2,right,2,1303.55669213379,540,happy,2,y_f_h,young_female_happy,085_y_f_h_a.jpg,11,0.100026648000003,12,y_f_n,young_female_neutral,085_y_f_n_a.jpg,12,2,0.0250066620000007,3,1,0.0250066620000007,3,1.50039972000004,180
45,2.50066620000007,300,90.1323454020025,10813,2,1,52,2,4,8,middle,1,female,2,right,2,1303.55669213379,540,happy,2,m_f_h,middle_female_happy,052_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,052_m_f_n_a.jpg,6,8,0.150039972000004,18,8,0.750199860000021,90,1.50039972000004,180
46,2.15890848600006,259,92.0411872680025,11042,2,1,7,1,1,1,middle,1,male,1,left,1,616.443307866211,540,fear,1,m_m_f,middle_male_fear,007_m_m_f_a.jpg,1,0.100026648000003,12,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,3,1,0.0166711080000005,2,6,0.541811010000015,65,1.50039972000004,180
47,2.09222405400006,251,93.7666469460026,11249,2,1,38,1,2,5,middle,1,male,1,left,1,616.443307866211,540,happy,2,m_m_h,middle_male_happy,038_m_m_h_a.jpg,2,0.100026648000003,12,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,5,0.0500133240000014,6,5,0.441784362000012,53,1.50039972000004,180
48,1.88383520400005,226,95.5421199480026,11462,2,1,99,3,5,15,young,2,male,1,right,2,1303.55669213379,540,fear,1,y_m_f,young_male_fear,099_y_m_f_a.jpg,7,0.100026648000003,12,y_m_n,young_male_neutral,099_y_m_n_a.jpg,9,5,0.0500133240000014,6,3,0.233395512000006,28,1.50039972000004,180
49,1.90884186600005,229,97.5759951240027,11706,2,1,45,1,2,6,middle,1,male,1,right,2,1303.55669213379,540,happy,2,m_m_h,middle_male_happy,045_m_m_h_a.jpg,2,0.100026648000003,12,m_m_n,middle_male_neutral,045_m_m_n_a.jpg,3,6,0.0750199860000021,9,3,0.233395512000006,28,1.50039972000004,180
50,2.00886851400006,241,99.4514947740027,11931,2,1,103,2,3,16,middle,1,female,2,right,2,1303.55669213379,540,fear,1,m_f_f,middle_female_fear,103_m_f_f_a.jpg,4,0.100026648000003,12,m_f_n,middle_female_neutral,103_m_f_n_a.jpg,6,6,0.0750199860000021,9,4,0.333422160000009,40,1.50039972000004,180
51,2.50066620000007,300,101.818792110003,12215,2,1,122,2,4,20,middle,1,female,2,right,2,1303.55669213379,540,happy,2,m_f_h,middle_female_happy,122_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,122_m_f_n_a.jpg,6,10,0.250066620000007,30,7,0.650173212000018,78,1.50039972000004,180
52,2.18391514800006,262,104.194425000003,12500,2,1,122,2,3,20,middle,1,female,2,left,1,616.443307866211,540,fear,1,m_f_f,middle_female_fear,122_m_f_f_a.jpg,4,0.100026648000003,12,m_f_n,middle_female_neutral,122_m_f_n_a.jpg,6,10,0.250066620000007,30,4,0.333422160000009,40,1.50039972000004,180
53,2.55067952400007,306,106.578393444003,12786,2,1,61,2,3,9,middle,1,female,2,right,2,1303.55669213379,540,fear,1,m_f_f,middle_female_fear,061_m_f_f_a.jpg,4,0.100026648000003,12,m_f_n,middle_female_neutral,061_m_f_n_a.jpg,6,9,0.200053296000005,24,8,0.750199860000021,90,1.50039972000004,180
54,2.34229067400006,281,108.762308592003,13048,2,1,117,2,4,19,middle,1,female,2,left,1,616.443307866211,540,happy,2,m_f_h,middle_female_happy,117_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,117_m_f_n_a.jpg,6,9,0.200053296000005,24,6,0.541811010000015,65,1.50039972000004,180
55,2.36729733600006,284,110.437754946003,13249,2,1,6,2,3,1,middle,1,female,2,right,2,1303.55669213379,540,fear,1,m_f_f,middle_female_fear,006_m_f_f_a.jpg,4,0.100026648000003,12,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,1,0.0166711080000005,2,8,0.750199860000021,90,1.50039972000004,180
56,2.45065287600007,294,112.446623460003,13490,2,1,58,1,1,9,middle,1,male,1,left,1,616.443307866211,540,fear,1,m_m_f,middle_male_fear,058_m_m_f_a.jpg,1,0.100026648000003,12,m_m_n,middle_male_neutral,058_m_m_n_a.jpg,3,9,0.200053296000005,24,7,0.650173212000018,78,1.50039972000004,180
57,2.17557959400006,261,114.272109786003,13709,2,1,16,3,6,3,young,2,male,1,left,1,616.443307866211,540,happy,2,y_m_h,young_male_happy,016_y_m_h_a.jpg,8,0.100026648000003,12,y_m_n,young_male_neutral,016_y_m_n_a.jpg,9,3,0.0333422160000009,4,6,0.541811010000015,65,1.50039972000004,180
58,1.67544635400005,201,116.047582788003,13922,2,1,92,1,2,15,middle,1,male,1,left,1,616.443307866211,540,happy,2,m_m_h,middle_male_happy,092_m_m_h_a.jpg,2,0.100026648000003,12,m_m_n,middle_male_neutral,092_m_m_n_a.jpg,3,5,0.0500133240000014,6,1,0.0250066620000007,3,1.50039972000004,180
59,1.87549965000005,225,118.081457964003,14166,2,1,54,4,7,8,young,2,female,2,left,1,616.443307866211,540,fear,1,y_f_f,young_female_fear,054_y_f_f_a.jpg,10,0.100026648000003,12,y_f_n,young_female_neutral,054_y_f_n_a.jpg,12,8,0.150039972000004,18,2,0.125033310000003,15,1.50039972000004,180
60,1.85049298800005,222,119.956957614003,14391,2,1,6,2,4,1,middle,1,female,2,left,1,616.443307866211,540,happy,2,m_f_h,middle_female_happy,006_m_f_h_a.jpg,5,0.100026648000003,12,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,1,0.0166711080000005,2,3,0.233395512000006,28,1.50039972000004,180
61,2.09222405400006,251,122.015839452003,14638,2,1,97,2,3,15,middle,1,female,2,right,2,1303.55669213379,540,fear,1,m_f_f,middle_female_fear,097_m_f_f_a.jpg,4,0.100026648000003,12,m_f_n,middle_female_neutral,097_m_f_n_a.jpg,6,5,0.0500133240000014,6,5,0.441784362000012,53,1.50039972000004,180
62,2.34229067400006,281,123.666279144003,14836,2,1,63,4,7,9,young,2,female,2,right,2,1303.55669213379,540,fear,1,y_f_f,young_female_fear,063_y_f_f_a.jpg,10,0.100026648000003,12,y_f_n,young_female_neutral,063_y_f_n_a.jpg,12,9,0.200053296000005,24,6,0.541811010000015,65,1.50039972000004,180
